═══════════════════════════════════════════════════
  ScenarioGenerator — Rapport TPS
═══════════════════════════════════════════════════
  Test      : 100_Achat_Par_Seconde
  Execution : 6
  Date      : 15/06/2026 09:21:32
  Status    : COMPLETED
═══════════════════════════════════════════════════

  RÉSUMÉ KPIs
  ─────────────────────────────────────────────────
  TX Total    : 3337
  Approuvées  : 3337 (100,0%)
  Refusées    : 0

  TPS Moyen   : 37,1 /s

  Réponse Avg : 68 ms
  Réponse Min : 2 ms
  Réponse Max : 1767 ms
  P95         : 374 ms
  P99         : 1186 ms

  PALIERS TPS
  ─────────────────────────────────────────────────
  Palier   Début    Fin      TPS cible  TX envoyés
  1        0        30       10         291       
  2        30       60       50         1046      
  3        60       90       100        1958      

  DÉTAIL TRANSACTIONS (100 premières)
  ─────────────────────────────────────────────────
  #     PAN                  DE039  Auth     Ms      
  1     555555******6279     00     MC0610   18      
  2     555555******1031     00     MC5906   32      
  3     555555******0403     00     MC9624   10      
  4     555555******0966     00     MC3021   22      
  5     555555******0936     00     MC0821   9       
  6     555555******8597     00     MC5623   11      
  7     555555******7447     00     MC5600   32      
  8     555555******4081     00     MC3347   8       
  9     555555******9691     00     MC4407   24      
  10    555555******3966     00     MC9739   15      
  11    555555******8917     00     MC5812   19      
  12    555555******4038     00     MC7920   7       
  13    555555******6221     00     MC3333   29      
  14    555555******1308     00     MC9834   9       
  15    555555******9763     00     MC9776   6       
  16    555555******0582     00     MC9137   11      
  17    555555******8757     00     MC7572   4       
  18    555555******0174     00     MC1489   10      
  19    555555******0604     00     MC1618   16      
  20    555555******3144     00     MC7650   8       
  21    555555******5602     00     MC2758   12      
  22    555555******0553     00     MC0234   6       
  23    555555******2212     00     MC7570   13      
  24    555555******0906     00     MC4125   24      
  25    555555******6618     00     MC2985   8       
  26    555555******5228     00     MC9187   12      
  27    555555******6898     00     MC1665   9       
  28    555555******4066     00     MC9835   26      
  29    555555******5535     00     MC1783   8       
  30    555555******0195     00     MC4877   37      
  31    555555******8159     00     MC5977   8       
  32    555555******1873     00     MC3184   5       
  33    555555******1959     00     MC9187   19      
  34    555555******7332     00     MC8413   9       
  35    555555******7381     00     MC9585   16      
  36    555555******1401     00     MC9231   20      
  37    555555******8104     00     MC7924   15      
  38    555555******7439     00     MC6788   7       
  39    555555******1128     00     MC3674   16      
  40    555555******7589     00     MC9834   10      
  41    555555******0802     00     MC0307   6       
  42    555555******6788     00     MC0484   7       
  43    555555******8490     00     MC2693   14      
  44    555555******0093     00     MC0434   9       
  45    555555******2794     00     MC8407   7       
  46    555555******6945     00     MC8850   9       
  47    555555******9509     00     MC7183   25      
  48    555555******6855     00     MC2652   21      
  49    555555******5416     00     MC5258   28      
  50    555555******4903     00     MC6763   19      
  51    555555******6437     00     MC3553   13      
  52    555555******8808     00     MC2432   5       
  53    555555******5144     00     MC5756   33      
  54    555555******4162     00     MC2810   14      
  55    555555******3560     00     MC6253   5       
  56    555555******4196     00     MC2605   12      
  57    555555******6531     00     MC1321   9       
  58    555555******4316     00     MC9884   4       
  59    555555******3885     00     MC6321   14      
  60    555555******2728     00     MC5378   5       
  61    555555******6680     00     MC1603   10      
  62    555555******9307     00     MC8081   3       
  63    555555******8798     00     MC5703   12      
  64    555555******6273     00     MC0208   5       
  65    555555******1909     00     MC8675   13      
  66    555555******9529     00     MC1436   6       
  67    555555******5038     00     MC4521   15      
  68    555555******6458     00     MC6584   14      
  69    555555******8364     00     MC5749   5       
  70    555555******1307     00     MC8938   22      
  71    555555******1748     00     MC5096   4       
  72    555555******5872     00     MC1543   11      
  73    555555******7593     00     MC3382   8       
  74    555555******1931     00     MC4200   5       
  75    555555******9654     00     MC8324   12      
  76    555555******8936     00     MC6346   3       
  77    555555******9530     00     MC3230   4       
  78    555555******9249     00     MC1359   3       
  79    555555******3952     00     MC5355   8       
  80    555555******7186     00     MC2164   48      
  81    555555******0327     00     MC3884   16      
  82    555555******5435     00     MC6466   4       
  83    555555******7144     00     MC3271   14      
  84    555555******6152     00     MC3357   5       
  85    555555******2614     00     MC7210   4       
  86    555555******5999     00     MC0284   7       
  87    555555******3850     00     MC5368   14      
  88    555555******0023     00     MC0225   11      
  89    555555******9666     00     MC8716   9       
  90    555555******6006     00     MC2444   26      
  91    555555******9588     00     MC1641   8       
  92    555555******5360     00     MC1702   3       
  93    555555******0213     00     MC4780   11      
  94    555555******0395     00     MC1780   16      
  95    555555******9637     00     MC4515   4       
  96    555555******6270     00     MC8033   7       
  97    555555******9199     00     MC2464   10      
  98    555555******4853     00     MC6699   14      
  99    555555******6398     00     MC1902   9       
  100   555555******8067     00     MC0947   7       

═══════════════════════════════════════════════════
